Date,Open,High,Low,Close,Adj Close,Volume
2021-09-21,3510.0,3580.0,3500.0,3570.0,3231.209228515625,410533900
2021-09-22,3520.0,3650.0,3520.0,3610.0,3267.4130859375,416087300
2021-09-23,3600.0,3770.0,3590.0,3770.0,3412.229248046875,432390800
2021-09-24,3790.0,3860.0,3770.0,3820.0,3457.484375,634549600
2021-09-27,3770.0,3800.0,3730.0,3750.0,3394.127197265625,380151200
2021-09-28,3770.0,3770.0,3690.0,3720.0,3366.97412109375,306827400
2021-09-29,3720.0,3750.0,3690.0,3740.0,3385.076171875,143081800
2021-09-30,3760.0,3870.0,3750.0,3850.0,3484.637451171875,416099000
2021-10-01,3850.0,3920.0,3830.0,3900.0,3529.892333984375,359864700
2021-10-04,3900.0,4010.0,3890.0,3970.0,3593.249267578125,335762600
2021-10-05,3950.0,3980.0,3910.0,3930.0,3557.04541015625,236562700
2021-10-06,3920.0,4150.0,3920.0,4120.0,3729.014404296875,446708800
2021-10-07,4150.0,4170.0,4070.0,4120.0,3729.014404296875,264905400
2021-10-08,4190.0,4240.0,4130.0,4160.0,3765.218505859375,196631600
2021-10-11,4160.0,4200.0,4130.0,4180.0,3783.3203125,146720100
2021-10-12,4180.0,4240.0,4180.0,4220.0,3819.5244140625,241196000
2021-10-13,4230.0,4300.0,4220.0,4280.0,3873.830810546875,264629400
2021-10-14,4280.0,4350.0,4230.0,4250.0,3846.677490234375,196989500
2021-10-15,4250.0,4330.0,4220.0,4320.0,3910.03466796875,318189600
2021-10-18,4350.0,4410.0,4340.0,4410.0,3991.493408203125,286829000
2021-10-19,4450.0,4450.0,4360.0,4400.0,3982.442626953125,161256300
2021-10-21,4450.0,4460.0,4320.0,4360.0,3946.23828125,319230200
2021-10-22,4340.0,4400.0,4320.0,4400.0,3982.442626953125,160459300
2021-10-25,4330.0,4370.0,4300.0,4300.0,3891.9326171875,128240100
2021-10-26,4280.0,4370.0,4270.0,4350.0,3937.1875,108782400
2021-10-27,4330.0,4340.0,4260.0,4290.0,3882.881591796875,258038300
2021-10-28,4210.0,4300.0,4200.0,4240.0,3837.62646484375,159645200
2021-10-29,4300.0,4300.0,4220.0,4250.0,3846.677490234375,155011100
2021-11-01,4330.0,4330.0,4220.0,4230.0,3828.575439453125,102079300
2021-11-02,4270.0,4270.0,4210.0,4210.0,3810.4736328125,124799700
2021-11-03,4250.0,4300.0,4210.0,4290.0,3882.881591796875,100486300
2021-11-04,4330.0,4340.0,4250.0,4250.0,3846.677490234375,119591100
2021-11-05,4270.0,4270.0,4210.0,4240.0,3837.62646484375,74347000
2021-11-08,4250.0,4260.0,4220.0,4230.0,3828.575439453125,79465600
2021-11-09,4230.0,4250.0,4220.0,4250.0,3846.677490234375,92453200
2021-11-10,4230.0,4260.0,4210.0,4250.0,3846.677490234375,69475400
2021-11-11,4290.0,4300.0,4230.0,4250.0,3846.677490234375,149637700
2021-11-12,4270.0,4290.0,4210.0,4220.0,3819.5244140625,80234400
2021-11-15,4220.0,4220.0,4140.0,4160.0,3765.218505859375,220142300
2021-11-16,4120.0,4170.0,4120.0,4130.0,3738.0654296875,163555000
2021-11-17,4170.0,4200.0,4160.0,4200.0,3801.42236328125,126523700
2021-11-18,4150.0,4190.0,4140.0,4180.0,3783.3203125,114881200
2021-11-19,4220.0,4290.0,4220.0,4280.0,3873.830810546875,182167700
2021-11-22,4310.0,4310.0,4250.0,4280.0,3873.830810546875,151514000
2021-11-23,4280.0,4280.0,4200.0,4210.0,3810.4736328125,104294200
2021-11-24,4200.0,4230.0,4190.0,4210.0,3810.4736328125,111072800
2021-11-25,4180.0,4250.0,4180.0,4220.0,3819.5244140625,123609400
2021-11-26,4190.0,4220.0,4150.0,4160.0,3765.218505859375,148652500
2021-11-29,4150.0,4190.0,4080.0,4170.0,3774.26953125,164312800
2021-11-30,4150.0,4220.0,4090.0,4090.0,3701.861572265625,316653200
2021-12-01,4090.0,4180.0,4070.0,4080.0,3692.810546875,163457900
2021-12-02,4060.0,4220.0,4060.0,4200.0,3801.42236328125,139281800
2021-12-03,4210.0,4220.0,4170.0,4170.0,3774.26953125,93227100
